eco,name,fen,white,draw,black
A62,"Benoni Defense: Fianchetto Variation",rnbqkb1r/pp3p1p/3p1np1/2pP4/8/2N3P1/PP2PP1P/R1BQKBNR w KQkq - 0 7,10,10,9
A62,"Benoni Defense: Fianchetto Variation",rnbqkb1r/pp1p1ppp/4pn2/2pP4/2P5/6P1/PP2PP1P/RNBQKBNR b KQkq - 0 4,8,8,14
A62,"Benoni Defense: Fianchetto Variation",rnbqkbnr/ppp1pp1p/3p2p1/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 3,14,11,7
A62,"Benoni Defense: Fianchetto Variation",rnbqkb1r/pp3ppp/3p1n2/2pP4/8/2N3P1/PP2PP1P/R1BQKBNR b KQkq - 1 6,10,10,8
A62,"Benoni Defense: Fianchetto Variation",rnbqkb1r/pp3p1p/3p1np1/2pP4/8/2N3P1/PP2PPBP/R1BQK1NR b KQkq - 1 7,9,10,11
A62,"Benoni Defense: Fianchetto Variation",rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/6P1/PP2PP1P/RNBQKBNR w KQkq - 0 4,9,10,16
A62,"Benoni Defense: Fianchetto Variation",rnbqk2r/pp3pbp/3p1np1/2pP4/8/2N3P1/PP2PPBP/R1BQK1NR w KQkq - 2 8,9,10,11
A62,"Benoni Defense: Fianchetto Variation",rnbqr1k1/pp3pbp/3p1np1/2pP4/8/2N2NP1/PP2PPBP/R1BQ1RK1 w - - 6 10,12,11,15
A62,"Benoni Defense: Fianchetto Variation",rnbqkb1r/pp1p1ppp/5n2/2pp4/2P5/6P1/PP2PP1P/RNBQKBNR w KQkq - 0 5,8,7,14
A62,"Benoni Defense: Fianchetto Variation",rnbq1rk1/pp3pbp/3p1np1/2pP4/8/2N2NP1/PP2PPBP/R1BQ1RK1 b - - 5 9,16,13,16
A62,"Benoni Defense: Fianchetto Variation",rnbqk1nr/ppp1ppbp/3p2p1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 1 4,27,14,6
A62,"Benoni Defense: Fianchetto Variation",rnbqk2r/pp3pbp/3p1np1/2pP4/8/2N2NP1/PP2PPBP/R1BQK2R b KQkq - 3 8,11,11,13
A62,"Benoni Defense: Fianchetto Variation",rnbqkb1r/pp3ppp/3p1n2/2pP4/8/6P1/PP2PP1P/RNBQKBNR w KQkq - 0 6,8,7,11
A56,"Benoni Defense: Hromádka System",rnbqkb1r/pp3ppp/3p1n2/2pPp3/2P1P3/2N5/PP3PPP/R1BQKBNR b KQkq - 2 5,14,17,1
A60,"Benoni Defense: Modern Variation",rnbqkb1r/pp1p1ppp/4pn2/2pP4/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,42,45,8
